"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c";"ano";"mes"
16.0;207.6;27.3;2016;11
18.0;208.0;26.4;2016;12
18.0;170.8;26.2;2017;1
16.0;482.0;25.2;2017;2
16.0;109.0;26.2;2017;3
17.0;151.4;26.4;2017;4
;;27.0;2017;5
;0.0;26.0;2017;6
0.0;0.0;24.7;2017;7
0.0;0.0;28.1;2017;8
1.0;2.4;30.0;2017;9
8.0;133.6;29.7;2017;10
21.0;319.4;26.4;2017;11
22.0;264.6;25.9;2017;12
22.0;179.6;26.0;2018;1
22.0;495.6;25.1;2018;2
19.0;;25.8;2018;3
6.0;;26.0;2018;4
1.0;5.8;26.1;2018;5
;;25.9;2018;6
;;25.9;2018;7
;;;2018;8
1.0;;;2018;9
;;;2018;10
;;;2018;11
;;;2018;12
12.0;;26.3;2019;1
10.0;;25.9;2019;2
21.0;358.8;25.9;2019;3
12.0;39.0;26.6;2019;4
4.0;105.4;27.1;2019;5
0.0;0.0;25.6;2019;6
0.0;0.0;25.8;2019;7
0.0;0.0;27.8;2019;8
0.0;0.0;29.9;2019;9
9.0;4.0;27.7;2019;10
;;27.0;2019;11
;;27.0;2019;12
;;26.1;2020;1
;;25.9;2020;2
;;25.9;2020;3
;;26.4;2020;4
;;26.1;2020;5
;0.0;25.6;2020;6
0.0;0.0;25.6;2020;7
0.0;0.0;27.5;2020;8
0.0;0.0;29.6;2020;9
;;28.7;2020;10
;;26.9;2020;11
;;26.5;2020;12
;;26.5;2021;1
;;25.0;2021;2
;;25.8;2021;3
;;26.7;2021;4
;;26.2;2021;5
;;26.0;2021;6
;;25.7;2021;7
;;28.1;2021;8
5.0;22.2;29.0;2021;9
10.0;72.0;27.6;2021;10
19.0;200.6;25.9;2021;11
21.0;311.0;25.7;2021;12
21.0;188.2;25.6;2022;1
14.0;;26.0;2022;2
20.0;197.4;25.9;2022;3
